YEAR,DCPS_GDP,M2_GDP,TFD_GDP,FIA_GDP,OPEN_GDP,INF,RGDP,lnCPS,lnM2,lnTFD,lnFIA,lnOPEN,lnINF,lnRGDP,FDI,D1995,,
1980,8.207357287,22.63414843,14.92869684,37.24037514,19.83041412,9.781954275,378963.3404,2.105030982,3.119459758,2.703285323,3.617393526,2.987216826,2.280539288,12.84519475,-1.28905,0,,DCPS=domestic credit to private sector
1981,9.148203757,23.09920533,15.53447834,38.79994141,22.10751822,13.3852092,416977.9421,2.213557549,3.139798216,2.743061963,3.658418736,3.095917742,2.594150307,12.9407886,-1.24356,0,,TFD=total financial deposits
1982,8.513618175,24.06738092,16.20401446,37.70394992,20.72350587,10.41873587,435372.7854,2.14166702,3.180857435,2.785259018,3.629764861,3.031268605,2.343605711,12.98395792,-1.24345,0,,FIA=total financial assets (total assets of commercial banks and central bank)
1983,7.980544632,27.26826528,19.13130895,41.25691139,22.01590728,14.16803833,437146.8002,2.077006659,3.305723582,2.951326205,3.719818648,3.09176525,2.650988606,12.98802434,-1.12629,0,,OPEN=export+import=trade openness
1984,8.078391448,26.61033342,18.27895139,39.44769661,20.91677272,6.236934723,475604.9056,2.089192775,3.281299615,2.9057502,3.674975658,3.040551359,1.830488831,13.07234276,-1.16693,0,,"INF=inflation, base year 2011"
1985,8.664648936,26.39491704,18.372722,41.8116642,22.50134158,4.142794811,501201.404,2.159251407,3.273171455,2.910867065,3.733175348,3.113574933,1.421370635,13.1247633,-1.13225,0,,"RGDP=real GDP in million of Nepalese rupees, base year 2011"
1986,9.272436933,27.19883733,18.5095274,43.52029282,22.28298705,15.84488477,524085.004,2.227046229,3.303174227,2.918285594,3.773227331,3.103823475,2.762846721,13.16940917,-1.09137,0,,"FID=financial depth index (from principal component analysis of B,C,D&E)"
1987,9.602436427,27.39916072,18.40175999,44.06801954,21.75967681,13.27196705,532993.1472,2.262016861,3.310512382,2.912446312,3.785734339,3.08005857,2.58565407,13.18626385,-1.07929,0,,
1988,10.33352404,27.85556394,19.56674382,45.26616909,23.38452136,10.79044144,574015.7925,2.335393371,3.327032729,2.973831381,3.812559934,3.152074323,2.37866069,13.26041219,-1.0334,0,,
1989,11.60188193,29.80295732,20.90119861,47.02598857,22.91811359,8.31433546,598857.4626,2.45116732,3.394607628,3.039806507,3.850700397,3.131927584,2.117981189,13.30277889,-0.95202,0,,
1990,11.30153941,30.51017251,21.11298058,48.36930456,22.70548078,9.702248367,626614.7206,2.424938948,3.418060153,3.049888045,3.878865409,3.122606339,2.272357649,13.34808715,-0.92776,0,,data retrieved from: https://www.nrb.org.np/category/economic-bulletin/quarterly-economic-bulletin/page/2/
1991,11.72110991,31.33048102,21.64825123,54.47345684,25.43324749,9.812276903,666507.7101,2.461391482,3.444591458,3.074924676,3.997713553,3.236057274,2.283634347,13.40980699,-0.83081,0,,
1992,11.89414464,30.55148608,21.42714751,54.91929064,30.53543117,21.05377222,693888.4161,2.476046232,3.419413329,3.064658693,4.005864665,3.418887687,3.047079747,13.45006644,-0.83628,0,,
1993,12.36858066,34.01244504,24.49904942,62.2013833,32.933331,8.863171523,720580.5701,2.515159439,3.526726488,3.198634318,4.130377239,3.494485245,2.18190466,13.48781251,-0.65558,0,,
1994,14.85753141,35.01600827,25.1502469,64.36664459,35.56154402,8.949895449,779806.8125,2.698506903,3.555805336,3.224867714,4.164595558,3.57126483,2.191641851,13.56680149,-0.57475,0,,
1995,19.13680849,36.94978898,26.68680278,65.06955629,37.10217862,7.65776591,806854.0011,2.951613626,3.609559936,3.284169165,4.175456795,3.613675691,2.035720285,13.60089802,-0.46373,1,,
1996,22.30687027,37.22272441,27.16041348,65.816008,37.89902496,8.134516498,849920.7488,3.104894715,3.616919446,3.301760526,4.186863091,3.634925385,2.096116304,13.65289839,-0.40287,1,,
1997,23.05016167,36.97532735,27.23114437,66.50832582,41.42050458,8.090992417,894634.7975,3.137672783,3.610250862,3.304361332,4.19732714,3.723776038,2.090751396,13.70417087,-0.38696,1,,
1998,25.53810102,42.03579917,31.76698965,75.03870764,38.72941216,8.325624422,920955.679,3.240171494,3.738521616,3.458427689,4.318004082,3.656599315,2.119338039,13.73316719,-0.12394,1,,
1999,26.54705937,44.67371856,34.44543849,76.20782608,36.02006806,11.37916311,962248.7541,3.278918984,3.799385377,3.539376579,4.333464162,3.584076229,2.431783885,13.77702828,-0.0258,1,,
2000,28.84085926,49.0452399,37.94004026,81.68672,41.72137195,3.392754457,1021095.171,3.361793106,3.892743135,3.636007026,4.402891443,3.731013514,1.221642116,13.83638631,0.17479,1,,
2001,28.70950061,48.57190744,37.63348803,83.10509853,38.8072314,2.434804103,1078566.81,3.3572281,3.883045328,3.627894293,4.420106054,3.658606606,0.889866303,13.89114369,0.17981,1,,
2002,29.01675078,48.75218882,36.63781241,86.56790693,33.59153384,2.889720077,1079862.75,3.367873276,3.886750095,3.601080833,4.460929157,3.514274066,1.061159638,13.89234451,0.2143,1,,
2003,30.66791156,49.95851752,38.40190578,87.73012342,35.40670503,4.749340369,1122464.543,3.423216882,3.911193011,3.648107088,4.474265323,3.56690121,1.558005739,13.93103731,0.2898,1,,
2004,32.14116512,51.66475795,39.88588299,84.65429922,35.43328083,3.963056255,1175025.076,3.470137611,3.944775885,3.686022452,4.438575895,3.567651515,1.377015509,13.97680005,0.31461,1,,
2005,33.42602615,50.9728622,39.30288634,82.08983211,35.3198468,4.538846713,1215905.42,3.509334823,3.931293377,3.67129796,4.407814161,3.564445038,1.512672952,14.01099956,0.2838,1,,
2006,32.76662599,53.11576675,41.20193233,83.76166783,35.77741606,7.96250515,1256815.162,3.489410497,3.97247381,3.718485157,4.427975478,3.577316858,2.074743668,14.04409143,0.3489,1,,
2007,37.57450776,54.34234209,42.86247203,77.78018265,34.90908027,5.9,1299693.475,3.626325835,3.995303704,3.757996665,4.353886677,3.552746975,1.774952351,14.07763901,0.37898,1,,
2008,41.66379981,60.73341743,48.4519005,75.31052924,34.47573992,6.704438149,1379034.419,3.729632642,4.106494081,3.880571564,4.321619956,3.540255886,1.902769717,14.13689412,0.56238,1,,
2009,44.35566005,63.800398,51.07529696,77.4812114,35.63465003,12.58185841,1441547.887,3.792240323,4.155759429,3.933300955,4.350035473,3.57331848,2.532255967,14.18122802,0.69962,1,,
2010,41.97364593,60.32990122,48.4153007,84.15997998,36.48296789,9.576119638,1510978.656,3.737041944,4.099827855,3.879815894,4.432719511,3.596845519,2.259272462,14.22826812,0.66726,1,,
2011,46.54324256,58.95765987,49.8750974,68.32904241,29.46948259,9.55942133,1562681.575,3.840381828,4.076819557,3.909521828,4.224334894,3.383355239,2.257527195,14.26191386,0.53922,1,,
2012,46.05524563,64.28091885,54.58496189,66.71958358,30.47856269,8.315008921,1632040.476,3.829841668,4.163262835,3.999758422,4.200498517,3.417023574,2.118062186,14.30534162,0.64667,1,,
2013,49.91682475,67.47959643,57.43112927,77.37553252,32.50700395,9.8382953,1689572.403,3.910358115,4.211825277,4.050586478,4.348670613,3.481455572,2.286282454,14.33998604,0.90624,1,,
2014,51.54811092,70.14331126,59.95138274,79.63086592,36.11861481,9.080902587,1791140.758,3.942515564,4.250540453,4.093533946,4.377401781,3.586808378,2.206173591,14.39836327,1.02385,1,,
2015,56.68934868,77.47861516,66.3350225,87.57215472,35.48397651,7.21493441,1862357.469,4.037586339,4.350001965,4.194718001,4.472463079,3.569081229,1.976153101,14.4373537,1.36953,1,,
2016,64.88444773,86.05904321,73.50307982,97.41290568,32.34879796,9.93807817,1870423.594,4.172607961,4.45503361,4.297327308,4.578958704,3.476576863,2.296373659,14.44167548,1.80525,1,,
